range,x,y
Calving,293.3,141.1
Calving,294.5,135.75
Calving,294.5,145
Calving,296.5,130.75
Calving,296.5,146.8333333
Calving,298.5,125.75
Calving,299.5,147.3333333
Calving,301.5,118.8333333
Calving,301,122
Calving,302.5,115.3333333
Calving,302.5,147.6666667
Calving,304.5,111.875
Calving,305.5,148.1666667
Calving,306.5,108.75
Calving,308.5,105.8333333
Calving,308.5,148.5
Calving,310.7,103.1
Calving,311.5,148.5
Calving,313.3,99.4
Calving,314.5,149
Calving,315.5,96.25
Calving,317.5,92.75
Calving,317.5,149.5
Calving,319.1666667,89.5
Calving,320.5,85.25
Calving,320.5,150.3333333
Calving,321.75,81
Calving,322.5,77.33333333
Calving,323.5,151.3333333
Calving,324.7,74.1
Calving,326.5,152.6666667
Calving,327.5,71.66666667
Calving,329.5,154
Calving,330.5,70.83333333
Calving,332.5,155.1666667
Calving,333.5,70.16666667
Calving,335.5,156.6666667
Calving,336.5,69.16666667
Calving,338.5,157.8333333
Calving,339.5,69
Calving,341.5,159
Calving,342.5,68.33333333
Calving,344.5,159.6666667
Calving,345.5,67.33333333
Calving,347.5,160.5
Calving,348.5,66.5
Calving,350.5,161
Calving,351.5,65.5
Calving,353.5,161.3333333
Calving,354.5,64.33333333
Calving,356.5,161.5
Calving,357.5,63.16666667
Calving,359.5,161.5
Calving,360.5,62.16666667
Calving,362.5,161.5
Calving,363.5,61.5
Calving,365.5,161.8333333
Calving,366.5,60.83333333
Calving,368.5,163.1666667
Calving,369.5,60
Calving,370.7,165.9
Calving,372.5,58.5
Calving,372.8333333,167.8333333
Calving,375.5,57.66666667
Calving,375.5,170.5
Calving,378.5,56.83333333
Calving,378.5,172.1666667
Calving,380.5,175.3333333
Calving,381.5,56.5
Calving,381.5,178.1666667
Calving,382.1666667,182.1666667
Calving,382.5,186.1666667
Calving,383.5,189.3333333
Calving,384.5,56.16666667
Calving,384.5,192
Calving,387.5,56.5
Calving,387.5,194
Calving,390.5,56.66666667
Calving,390,195
Calving,390.5,198
Calving,391.5,201.3333333
Calving,392.5,204.1666667
Calving,393.5,57.16666667
Calving,394.5,207.75
Calving,396.5,58
Calving,396.5,210.75
Calving,399.5,58
Calving,399.5,213.5
Calving,402.5,57.5
Calving,402.5,215.1666667
Calving,405.5,57.5
Calving,405.5,215.5
Calving,408.5,57.83333333
Calving,408.5,214.3333333
Calving,411.5,58
Calving,411.5,212.8333333
Calving,413.5,210.375
Calving,414.5,58.33333333
Calving,415.5,207.1666667
Calving,417.5,59
Calving,418,207
Calving,418,210
Calving,418,213
Calving,418.5,215.8333333
Calving,419,220.25
Calving,420.5,59.66666667
Calving,420.5,224
Calving,422.5,228.25
Calving,423.5,60.33333333
Calving,424.5,230.8333333
Calving,426.5,61.16666667
Calving,427.5,232.6666667
Calving,429.5,62.66666667
Calving,430.5,233
Calving,432.5,64.16666667
Calving,433.5,231.8333333
Calving,435.5,65.83333333
Calving,436.5,229.5
Calving,438.5,67.33333333
Calving,439.5,224.875
Calving,438.5,228
Calving,441.5,69.33333333
Calving,441.5,222.1666667
Calving,443.5,72.25
Calving,444.5,222
Calving,445.5,74.625
Calving,445,225
Calving,444.5,227.5
Calving,444.5,230.5
Calving,444.5,233.5
Calving,444.5,236.5
Calving,444.5,239.5
Calving,444.5,242
Calving,446.5,107.375
Calving,446,111.5
Calving,446.5,114.1666667
Calving,446,216
Calving,445.5,219.5
Calving,447.5,78.16666667
Calving,447.5,100.3333333
Calving,447,103.5
Calving,447,211.75
Calving,448.5,81.83333333
Calving,447.5,83
Calving,448.5,94.33333333
Calving,448,97.5
Calving,449,85.5
Calving,449,88.5
Calving,449,91.5
Calving,449.5,116.5
Calving,449.5,220.8333333
Calving,450.5,119.5
Calving,452.5,122.8333333
Calving,452.5,219.5
Calving,453.5,124.25
Calving,455.5,218
Calving,456.5,125.375
Calving,458.75,215.75
Calving,459.5,126.5
Calving,461.25,213.25
Calving,462.5,127.1666667
Calving,464.5,209.75
Calving,465.5,128.5
Calving,466.5,206.75
Calving,468.5,202.75
Calving,469.5,177.1666667
Calving,470.5,131
Calving,470.5,180.3333333
Calving,470.5,199.125
Calving,471.5,183.6666667
Calving,471.5,194.8333333
Calving,472.5,174.8333333
Calving,472,187
Calving,472,190
Calving,471.5,192.5
Calving,473.5,133.1666667
Calving,474.5,172.375
Calving,475.7,135.9
Calving,476.5,169.25
Calving,478,137.5
Calving,478.5,139.75
Calving,478.5,165
Calving,479.5,142.8333333
Calving,479.5,161.1666667
Calving,480.5,147.1666667
Calving,480.5,150
Calving,480,152.5
Calving,480,155.5
Calving,480,158.5
Summer,233.5,208.75
Summer,232.8333333,213.5
Summer,234,216.5
Summer,235.5,204.6666667
Summer,235.5,219.6666667
Summer,236.5,222.3333333
Summer,238.5,203
Summer,238.5,225.5
Summer,240.5,229.1666667
Summer,241.5,202
Summer,241.5,232
Summer,243.5,234.6666667
Summer,244.5,202
Summer,246.5,236.8333333
Summer,247.5,202
Summer,249.5,239.3333333
Summer,250.5,201.6666667
Summer,252.5,241.5
Summer,253.5,200.8333333
Summer,255.5,242.6666667
Summer,256.5,198.5
Summer,258.5,244
Summer,259,196
Summer,260.5,192.5
Summer,261.5,245
Summer,262.5,189.25
Summer,264.5,186.25
Summer,264.5,245.8333333
Summer,266.5,182.8333333
Summer,267.5,246.8333333
Summer,268.5,180
Summer,270.5,248.3333333
Summer,271.5,177.25
Summer,273,174.25
Summer,273.5,249.6666667
Summer,274,171.5
Summer,275,165.5
Summer,275,168.5
Summer,276.5,159
Summer,276,162.75
Summer,276.5,251.6666667
Summer,278.7,155.9
Summer,279.5,254.5
Summer,280.5,151.5
Summer,282.5,257.5
Summer,283.5,148.6666667
Summer,285.5,260.5
Summer,286.5,146.6666667
Summer,288.5,263.5
Summer,289.5,145.6666667
Summer,291.5,265.8333333
Summer,292.5,145.1666667
Summer,294.5,268.3333333
Summer,297.5,144
Summer,297.5,270.6666667
Summer,300.5,145
Summer,300.5,273.1666667
Summer,303.5,145.8333333
Summer,303.5,275.5
Summer,306.5,146
Summer,306.5,278.5
Summer,309.5,146.5
Summer,309.5,281.5
Summer,312.5,146.5
Summer,311.8333333,284.8333333
Summer,314.5,287.5
Summer,315.5,145.8333333
Summer,317.5,290.3333333
Summer,318.5,143.5
Summer,320.5,292
Summer,321,139.5
Summer,320.5,142
Summer,322,136.5
Summer,323.5,132.875
Summer,323.5,293.5
Summer,325.5,129.5
Summer,326.5,293.8333333
Summer,327.5,125.625
Summer,329.5,294.3333333
Summer,330.5,123.25
Summer,333.5,121.5
Summer,333.5,295
Summer,336.5,119.8333333
Summer,336.5,295.8333333
Summer,339.5,118.5
Summer,339.5,296.6666667
Summer,342.5,117.3333333
Summer,342.5,297.6666667
Summer,345.5,117
Summer,345.5,299.3333333
Summer,348.5,116.5
Summer,348.5,300.6666667
Summer,351.5,116.8333333
Summer,351.5,301.6666667
Summer,354.5,117
Summer,354.5,303.1666667
Summer,357.5,117.6666667
Summer,357.5,304.6666667
Summer,360.5,118.6666667
Summer,360.5,307.5
Summer,363.5,120.3333333
Summer,363.5,310.1666667
Summer,366.5,121.3333333
Summer,366.5,313
Summer,369.5,121.625
Summer,369.5,314.6666667
Summer,372.5,123.25
Summer,372.5,316.3333333
Summer,375.5,124.875
Summer,375.5,317
Summer,378.5,124
Summer,378.5,318
Summer,381.5,124
Summer,381.5,318
Summer,384.5,124
Summer,384.5,317.8333333
Summer,387.5,317
Summer,389.5,122.3333333
Summer,390.5,316.6666667
Summer,392.5,121.1666667
Summer,393.5,315.6666667
Summer,395.5,118.8333333
Summer,396.5,314.5
Summer,398.5,116.8333333
Summer,399.5,312.8333333
Summer,401.5,115.1666667
Summer,402.5,310.8333333
Summer,404.5,114.3333333
Summer,405.5,308.6666667
Summer,407.5,114
Summer,408.5,306.3333333
Summer,410.5,114
Summer,411.5,303.5
Summer,413.5,114
Summer,414.5,300.5
Summer,416.5,115
Summer,417.5,297.5
Summer,419.5,115.1666667
Summer,420.5,294.8333333
Summer,422.5,116
Summer,422.75,291.875
Summer,425.5,117
Summer,425.3,288.3
Summer,427.1666667,283.8333333
Summer,428.5,118
Summer,429.1666667,280.8333333
Summer,431.5,119
Summer,431.1666667,277.8333333
Summer,433.5,274.5
Summer,434.5,120.3333333
Summer,436.5,272.1666667
Summer,437.5,121.8333333
Summer,439.5,269.5
Summer,440,122.5
Summer,442.5,267.1666667
Summer,443.5,124.1666667
Summer,445,265.25
Summer,446.25,125.875
Summer,449.5,127.8333333
Summer,449,263.25
Summer,452.5,129.6666667
Summer,452.5,259.3333333
Summer,455.5,132.1666667
Summer,455.5,256.5
Summer,458.5,134.5
Summer,458.5,253.5
Summer,461.5,137.5
Summer,461.5,250.8333333
Summer,463.5,247.5
Summer,463.8333333,140.8333333
Summer,465,143.75
Summer,465.5,146.5
Summer,466.3,244.7
Summer,466.5,154.5
Summer,467,158.5
Summer,467,161.5
Summer,467,164.5
Summer,467,167.5
Summer,466.8333333,170.8333333
Summer,468,175.25
Summer,467.5,177.5
Summer,468,180.25
Summer,468.5,240.75
Summer,469,183.5
Summer,469,186.25
Summer,470,188.75
Summer,470.1666667,237.8333333
Summer,470.5,192.5
Summer,472.5,234.8333333
Summer,472.8333333,197.5
Summer,474,200.25
Summer,474,232.25
Summer,475.5,203.1666667
Summer,475,229.5
Summer,475.5,205
Summer,476.5,225.8333333
Summer,477,207.5
Summer,477,223
Summer,478,211
Summer,478,214
Summer,478,217
Summer,478,220
Spring,48.7,262.3
Spring,48,266
Spring,48,269
Spring,48,272
Spring,48,275
Spring,48,278
Spring,48.5,281
Spring,49.5,256.75
Spring,49,284.5
Spring,50.16666667,252.1666667
Spring,49.83333333,288.1666667
Spring,50.83333333,291.8333333
Spring,52.5,246.625
Spring,51.5,250
Spring,52.5,295.25
Spring,54.5,241.875
Spring,54,298.25
Spring,55.5,301.5
Spring,56.5,238.8333333
Spring,57.5,304.875
Spring,58.5,236.1666667
Spring,59.5,307.8333333
Spring,61.5,233
Spring,62.5,310.5
Spring,63.75,313.25
Spring,64.5,229.5
Spring,66.5,314.8333333
Spring,67.5,226.5
Spring,69.5,316.8333333
Spring,70.5,223.5
Spring,72.5,319.1666667
Spring,73.5,221.5
Spring,75.5,321.3333333
Spring,76.5,219.6666667
Spring,78.5,322.6666667
Spring,79.5,217.6666667
Spring,81.5,323.8333333
Spring,82.5,216.5
Spring,84.5,325
Spring,85.5,215
Spring,87.5,325.8333333
Spring,88.5,213.8333333
Spring,90.5,326.5
Spring,91.5,212.8333333
Spring,93.5,327
Spring,94.5,212
Spring,96.5,327.3333333
Spring,97.5,211.1666667
Spring,99.5,327.8333333
Spring,100.5,211
Spring,102.5,328
Spring,103.5,210.5
Spring,105.5,328
Spring,106.5,210
Spring,108.5,328
Spring,109.5,209.8333333
Spring,111.5,328.6666667
Spring,112.5,209.1666667
Spring,114.5,329
Spring,115.5,209
Spring,117.5,329
Spring,118.5,208.8333333
Spring,120.5,329
Spring,121.5,208.1666667
Spring,123.5,329
Spring,124.5,208
Spring,126.5,329.1666667
Spring,127.5,207.5
Spring,129.5,330
Spring,130.5,206.8333333
Spring,132.5,330.5
Spring,133.5,206
Spring,135.5,331.5
Spring,136.5,205
Spring,138.5,332.5
Spring,139.5,204
Spring,141.5,334
Spring,142.5,202.8333333
Spring,144.5,335.8333333
Spring,145.5,201.3333333
Spring,147.5,337.6666667
Spring,148.5,199.6666667
Spring,150.5,339.5
Spring,151.5,198
Spring,153.5,341
Spring,154.5,196.5
Spring,156.5,342.8333333
Spring,157.5,194.8333333
Spring,159.5,344.5
Spring,160.5,193
Spring,162.5,345.3333333
Spring,163.5,191.5
Spring,166.5,190.1666667
Spring,167.5,347
Spring,169.5,188.5
Spring,170.5,348
Spring,172.5,187
Spring,173.5,349.3333333
Spring,175.5,185.6666667
Spring,176.5,350.5
Spring,178.5,184.5
Spring,179.5,351.5
Spring,181.5,183.1666667
Spring,182.5,352.5
Spring,184.5,182.5
Spring,185.5,353.6666667
Spring,187.5,181.8333333
Spring,188.5,354.6666667
Spring,190.5,180.5
Spring,191.5,355.6666667
Spring,193.5,180.1666667
Spring,194.5,357
Spring,196.5,180
Spring,197.5,358
Spring,199,180
Spring,200.5,359.1666667
Spring,203.5,360.1666667
Spring,206.5,361.5
Spring,209.5,363
Spring,212.5,364.6666667
Spring,215.5,366.3333333
Spring,218.5,367.8333333
Spring,220.5,178.5
Spring,221.5,369.6666667
Spring,223.5,178.5
Spring,224.5,371.6666667
Spring,226.5,178.5
Spring,227.5,373.6666667
Spring,229.5,178.5
Spring,230.5,375.5
Spring,232.5,178.5
Spring,233.5,377.5
Spring,235.5,178.5
Spring,236.5,379.5
Spring,238.5,178.5
Spring,239.5,381.5
Spring,241.5,178.1666667
Spring,242.5,383.5
Spring,244.5,178
Spring,245.5,385
Spring,247.5,177.1666667
Spring,248.5,386.8333333
Spring,250.5,176.1666667
Spring,251.5,388.5
Spring,253.5,174.5
Spring,254.5,390
Spring,256.5,172.5
Spring,257.5,391.6666667
Spring,259.3,170.5
Spring,260.5,392.8333333
Spring,262.5,166.8333333
Spring,263.5,394.1666667
Spring,264.5,164.25
Spring,266.5,160.75
Spring,266.5,395.5
Spring,268.5,156.75
Spring,269.5,396.8333333
Spring,270.1666667,153
Spring,272.1666667,148
Spring,271.5,151
Spring,272.5,397.8333333
Spring,274.5,142.625
Spring,273.5,146
Spring,275.5,399
Spring,276.5,138.75
Spring,277.5,134.8333333
Spring,278.5,131.5
Spring,278.5,399.8333333
Spring,280.5,125.625
Spring,279.5,129.5
Spring,281.5,400.8333333
Spring,282.5,121.5
Spring,284.5,117
Spring,284.5,401.3333333
Spring,285.5,113.1666667
Spring,286.5,110.1666667
Spring,287,107.5
Spring,287.5,401.5
Spring,288.1666667,104
Spring,290.1666667,99
Spring,289.5,102
Spring,292.1666667,94
Spring,291.5,97
Spring,292.5,403
Spring,294,89.5
Spring,293.5,92
Spring,295,86.5
Spring,295.5,403
Spring,296.5,82.75
Spring,298.5,78.625
Spring,298.5,403.3333333
Spring,300.5,74.5
Spring,301.5,403.8333333
Spring,302.5,70.5
Spring,304.5,404.5
Spring,305.25,67.375
Spring,306.5,63.83333333
Spring,307.5,404.5
Spring,308.5,60.83333333
Spring,310.5,58
Spring,310.5,404.5
Spring,313.3,54.5
Spring,313.5,403.5
Spring,316.5,50.5
Spring,316.5,403.3333333
Spring,319.1666667,47.83333333
Spring,319.5,403
Spring,321.5,44.5
Spring,322.5,403
Spring,324.5,41.5
Spring,327.5,38.5
Spring,327.5,401.5
Spring,330.5,35.5
Spring,330.5,401.1666667
Spring,333.5,32.83333333
Spring,333.5,400.6666667
Spring,336.5,30.5
Spring,336.5,399.8333333
Spring,339.5,28.33333333
Spring,339.5,400.1666667
Spring,342.5,26
Spring,342.5,401
Spring,345.5,24.5
Spring,345.5,402.5
Spring,347.5,406.25
Spring,348.5,22.83333333
Spring,349.5,409.75
Spring,351.5,21.33333333
Spring,351.5,413.625
Spring,353.5,416.875
Spring,354.5,19.33333333
Spring,355.5,420.25
Spring,357.5,18.16666667
Spring,357.5,423.5
Spring,359.5,426.75
Spring,360.5,16.66666667
Spring,362.5,429.5
Spring,363.5,15.33333333
Spring,365.5,432.5
Spring,366.5,14.83333333
Spring,368.5,435.5
Spring,369.5,13.83333333
Spring,371.5,437.3333333
Spring,372.5,13.16666667
Spring,374.5,439
Spring,375.5,13
Spring,377.5,440.5
Spring,378.5,13
Spring,380.5,441.6666667
Spring,380.5,13
Spring,383.5,442.5
Spring,386.5,443.5
Spring,389.5,444
Spring,392.5,444
Spring,394,11.5
Spring,395.5,444.1666667
Spring,398.5,444.1666667
Spring,401,13
Spring,401.5,444
Spring,404.5,13
Spring,404.5,443.5
Spring,407.5,13
Spring,407.5,442.5
Spring,410.5,13.16666667
Spring,410.5,442
Spring,413.5,14.16666667
Spring,413.5,440.6666667
Spring,416.5,15.16666667
Spring,416.5,439.5
Spring,419.5,16
Spring,419.5,438
Spring,422.5,17.5
Spring,422.5,436.5
Spring,425.5,18.83333333
Spring,425.5,434.5
Spring,428.5,20.5
Spring,428.5,431.5
Spring,431.5,22.5
Spring,431.5,429.3333333
Spring,434.5,24.83333333
Spring,434.3,426.7
Spring,436.5,423.25
Spring,437.5,26.5
Spring,438.5,420.1666667
Spring,439.5,416.8333333
Spring,440.25,29.75
Spring,440.1666667,374.1666667
Spring,440,378
Spring,440,381
Spring,440,384
Spring,440,387
Spring,440,390
Spring,440,392.75
Spring,440.5,413.5
Spring,441.75,32.25
Spring,441.5,369.25
Spring,441.1666667,396.8333333
Spring,441,400.5
Spring,441,410.5
Spring,442.1666667,404.1666667
Spring,442,407.75
Spring,444.5,33.5
Spring,444.5,365.6666667
Spring,446.5,36.5
Spring,446.7,233.1
Spring,446.5,237.1666667
Spring,446.5,240
Spring,446.5,279.5
Spring,446.5,282.5
Spring,446.5,285.5
Spring,446.5,288.5
Spring,446.5,291.5
Spring,446.5,294.3333333
Spring,447.5,219.3333333
Spring,447,222.5
Spring,447,225.5
Spring,447,228.5
Spring,447,243.5
Spring,447,246.5
Spring,447,249.5
Spring,447,252.5
Spring,447,255.5
Spring,447,258.5
Spring,447,261.5
Spring,447,264.5
Spring,447,267.5
Spring,447,270.5
Spring,447,273.5
Spring,447,276.5
Spring,447,297.5
Spring,447,300.5
Spring,447,303.5
Spring,447.5,306.8333333
Spring,447.5,363.3333333
Spring,448.5,39.375
Spring,448.5,212.8333333
Spring,448,216.5
Spring,448,310
Spring,448,313
Spring,449,209.5
Spring,449,317.25
Spring,450.5,42.375
Spring,450.5,204.8333333
Spring,450.5,321.75
Spring,450.5,361.1666667
Spring,451.5,201.5
Spring,450.5,208
Spring,451.5,326
